web-scraper-order,web-scraper-start-url,place,place-href,karwei_name,karwei_addres,karwei_city
"1762859385-43","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Nijkerk","https://www.karwei.nl/vestigingen/nijkerk","KARWEI Nijkerk","Watergoorweg 98","NIJKERK"
"1762859387-44","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Nieuwegein-Laagraven","https://www.karwei.nl/vestigingen/nieuwegein-laagraven","KARWEI Nieuwegein-Laagraven","Laagraven 63","NIEUWEGEIN"
"1762859389-45","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Mijdrecht","https://www.karwei.nl/vestigingen/mijdrecht","KARWEI Mijdrecht","Industrieweg 38","MIJDRECHT"
"1762859392-46","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Middelburg","https://www.karwei.nl/vestigingen/middelburg","KARWEI Middelburg","Mortiereboulevard 8","MIDDELBURG"
"1762859394-47","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Maastricht-Zuid","https://www.karwei.nl/vestigingen/maastricht-zuid","KARWEI Maastricht-Zuid","Burg. Frans Cortenraadstraat 14","GRONSVELD"
"1762859396-48","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Maassluis","https://www.karwei.nl/vestigingen/maassluis","KARWEI Maassluis","Elektraweg 9","MAASSLUIS"
"1762859398-49","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Leusden","https://www.karwei.nl/vestigingen/leusden","KARWEI Leusden","Klokhoek 4","LEUSDEN"
"1762859400-50","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Lemmer","https://www.karwei.nl/vestigingen/lemmer","KARWEI Lemmer","Houtsaachmole 8","LEMMER"
"1762859403-51","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Leeuwarden","https://www.karwei.nl/vestigingen/leeuwarden","KARWEI Leeuwarden","P.J. Troelstraweg 149/A","LEEUWARDEN"
"1762859405-52","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Leerdam","https://www.karwei.nl/vestigingen/leerdam","KARWEI Leerdam","Loosdorp 2","LEERDAM"
"1762859407-53","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Landgraaf","https://www.karwei.nl/vestigingen/landgraaf","KARWEI Landgraaf","Havikweg 6","LANDGRAAF"
"1762859409-54","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Krimpen aan den IJssel","https://www.karwei.nl/vestigingen/krimpen-aan-den-ijssel","KARWEI Krimpen aan den IJssel","IJsseldijk 361","KRIMPEN A/D IJSSEL"
"1762859411-55","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Kampen","https://www.karwei.nl/vestigingen/kampen","KARWEI Kampen","Ambachtsstraat 1","KAMPEN"
"1762859414-56","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","Webshop KARWEI","https://www.karwei.nl/vestigingen/webshop-karwei","Webshop KARWEI","Storkstraat 2","LEUSDEN"
"1762859416-57","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Joure","https://www.karwei.nl/vestigingen/joure","KARWEI Joure","Firmawei 2","JOURE"
"1762859418-58","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Hulst","https://www.karwei.nl/vestigingen/hulst","KARWEI Hulst","Stationsplein 26","HULST"
"1762859420-59","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Huizen","https://www.karwei.nl/vestigingen/huizen","KARWEI Huizen","Warandebergstraat 45","HUIZEN"
"1762859422-60","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Hoorn","https://www.karwei.nl/vestigingen/hoorn","KARWEI Hoorn","De Oude Veiling 85","ZWAAG"
"1762859425-61","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Hoogvliet","https://www.karwei.nl/vestigingen/hoogvliet","KARWEI Hoogvliet","Nieuwe Langeweg 30","HOOGVLIET"
"1762859427-62","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Hoogeveen","https://www.karwei.nl/vestigingen/hoogeveen","KARWEI Hoogeveen","Groenewegenstraat 11/15","HOOGEVEEN"
"1762859429-63","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Hoogerheide","https://www.karwei.nl/vestigingen/hoogerheide","KARWEI Hoogerheide","Middenweg 9","HOOGERHEIDE"
"1762859431-64","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Hoofddorp","https://www.karwei.nl/vestigingen/hoofddorp","KARWEI Hoofddorp","Noordmeerstraat 32/36","HOOFDDORP"
"1762859433-65","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Hilversum","https://www.karwei.nl/vestigingen/hilversum","KARWEI Hilversum","Tweede Loswal 4","HILVERSUM"
"1762859436-66","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Hillegom","https://www.karwei.nl/vestigingen/hillegom","KARWEI Hillegom","Satellietbaan 14","HILLEGOM"
"1762859438-67","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Hengelo","https://www.karwei.nl/vestigingen/hengelo","KARWEI Hengelo","Enschedesestraat 127","HENGELO"
"1762859440-68","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Hendrik Ido Ambacht","https://www.karwei.nl/vestigingen/hendrik-ido-ambacht","KARWEI Hendrik Ido Ambacht","Noordeinde 200","HENDRIK IDO AMBACHT"
"1762859442-69","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Helmond","https://www.karwei.nl/vestigingen/helmond","KARWEI Helmond","Engelseweg 217","HELMOND"
"1762859444-70","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Heiloo","https://www.karwei.nl/vestigingen/heiloo","KARWEI Heiloo","De Hoefsmid 2","HEILOO"
"1762859447-71","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Heesch","https://www.karwei.nl/vestigingen/heesch","KARWEI Heesch","Cereslaan 9","HEESCH"
"1762859449-72","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Heerenveen","https://www.karwei.nl/vestigingen/heerenveen","KARWEI Heerenveen","Houtdraaier 1","HEERENVEEN"
"1762859451-73","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Harderwijk","https://www.karwei.nl/vestigingen/harderwijk","KARWEI Harderwijk","Zuiderbreedte 17","HARDERWIJK"
"1762859453-74","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Haarlem-Zuid","https://www.karwei.nl/vestigingen/haarlem-zuid","KARWEI Haarlem-Zuid","Eysinkweg 63/65","HAARLEM"
"1762859455-75","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Haarlem","https://www.karwei.nl/vestigingen/haarlem","KARWEI Haarlem","Verspronckweg 63/A","HAARLEM"
"1762859458-76","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Groningen-Peizerweg","https://www.karwei.nl/vestigingen/groningen-peizerweg","KARWEI Groningen-Peizerweg","Peizerweg 86","GRONINGEN"
"1762859460-77","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Groesbeek","https://www.karwei.nl/vestigingen/groesbeek","KARWEI Groesbeek","Ambachtsweg 24","GROESBEEK"
"1762859462-78","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Gouda","https://www.karwei.nl/vestigingen/gouda","KARWEI Gouda","Marconistraat 121","GOUDA"
"1762859465-79","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Gorinchem","https://www.karwei.nl/vestigingen/gorinchem","KARWEI Gorinchem","Nieuwe Wolpherensedijk 5","GORINCHEM"
"1762859467-80","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Goor","https://www.karwei.nl/vestigingen/goor","KARWEI Goor","Mossendamsdwarsweg 6","GOOR"
"1762859469-81","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Goirle","https://www.karwei.nl/vestigingen/goirle","KARWEI Goirle","Wim Rötherlaan 14","GOIRLE"
"1762859471-82","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Gemert","https://www.karwei.nl/vestigingen/gemert","KARWEI Gemert","Industrieweg 50","GEMERT"
"1762859474-83","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Franeker","https://www.karwei.nl/vestigingen/franeker","KARWEI Franeker","Edisonstraat 16","FRANEKER"
"1762859476-84","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Etten-Leur","https://www.karwei.nl/vestigingen/etten-leur","KARWEI Etten-Leur","Munnikenheiweg 53","ETTEN-LEUR"
"1762859478-85","https://www.karwei.nl/vestigingen/overzicht?_gl=1*yptrie*_up*MQ..*_gs*MQ..&gclid=CjwKCAiA2svIBhB-EiwARWDPjuYN_7FbQ4zt2MpiTwMMzYofh0JWL7U0rRIHHPjfC9K_75RVnsKeNxoCsA8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADshOIT5HPa_WJY4uuwfdx7sBLTPV","KARWEI Enschede-West","https://www.karwei.nl/vestigingen/enschede-west","KARWEI Enschede-West","Tubantiasingel 1/A","ENSCHEDE"
